IE_XML_ID,IE_NAME,IE_ID,IE_ACTIVE,IE_ACTIVE_FROM,IE_ACTIVE_TO,IE_PREVIEW_PICTURE,IE_PREVIEW_TEXT,IE_PREVIEW_TEXT_TYPE,IE_DETAIL_PICTURE,IE_DETAIL_TEXT,IE_DETAIL_TEXT_TYPE,IE_CODE,IE_SORT,IE_TAGS,IP_PROP8,IP_PROP3,IP_PROP7,IP_PROP5,IP_PROP4,IP_PROP6,IC_GROUP0,IC_GROUP1,IC_GROUP2
266,ee4b43e4-df23-11e7-a7b5-5ef3fcbcaf17,266,Y,,,,,text,,,text,,500,,"Квартал Энтузиастов Литер 3, секция 2",ee4b43e4-df23-11e7-a7b5-5ef3fcbcaf17,02:55:020614:261,"«Многоэтажный жилой дом литер 3, расположенный в квартале, ограниченном проспектом Салавата Юлаева, улицами Лесотехникума, Энтузиастов, Рудольфа Нуреева, в Октябрьском районе городского округа город Уфа Республики Башкортостан»",Квартал Энтузиастов,31.12.2020 г.,,,
267,dcc9aba5-df2e-11e7-a7b5-5ef3fcbcaf17,267,Y,,,,,text,,,text,,500,,"Квартал Энтузиастов Литер 3, секция 3",dcc9aba5-df2e-11e7-a7b5-5ef3fcbcaf17,02:55:020614:261,"«Многоэтажный жилой дом литер 3, расположенный в квартале, ограниченном проспектом Салавата Юлаева, улицами Лесотехникума, Энтузиастов, Рудольфа Нуреева, в Октябрьском районе городского округа город Уфа Республики Башкортостан»",Квартал Энтузиастов,31.12.2020 г.,,,
268,e834c576-df2e-11e7-a7b5-5ef3fcbcaf17,268,Y,,,,,text,,,text,,500,,"Квартал Энтузиастов Литер 3, секция 4",e834c576-df2e-11e7-a7b5-5ef3fcbcaf17,02:55:020614:261,"«Многоэтажный жилой дом литер 3, расположенный в квартале, ограниченном проспектом Салавата Юлаева, улицами Лесотехникума, Энтузиастов, Рудольфа Нуреева, в Октябрьском районе городского округа город Уфа Республики Башкортостан»",Квартал Энтузиастов,31.12.2020 г.,,,
269,fa3eb309-df2e-11e7-a7b5-5ef3fcbcaf17,269,Y,,,,,text,,,text,,500,,"Квартал Энтузиастов Литер 3, секция 5",fa3eb309-df2e-11e7-a7b5-5ef3fcbcaf17,02:55:020614:261,"«Многоэтажный жилой дом литер 3, расположенный в квартале, ограниченном проспектом Салавата Юлаева, улицами Лесотехникума, Энтузиастов, Рудольфа Нуреева, в Октябрьском районе городского округа город Уфа Республики Башкортостан»",Квартал Энтузиастов,31.12.2020 г.,,,
270,105b3b54-df2f-11e7-a7b5-5ef3fcbcaf17,270,Y,,,,,text,,,text,,500,,"Квартал Энтузиастов Литер 3, секция 6",105b3b54-df2f-11e7-a7b5-5ef3fcbcaf17,02:55:020614:261,"«Многоэтажный жилой дом литер 3, расположенный в квартале, ограниченном проспектом Салавата Юлаева, улицами Лесотехникума, Энтузиастов, Рудольфа Нуреева, в Октябрьском районе городского округа город Уфа Республики Башкортостан»",Квартал Энтузиастов,31.12.2020 г.,,,
271,252a82f9-df2f-11e7-a7b5-5ef3fcbcaf17,271,Y,,,,,text,,,text,,500,,"Квартал Энтузиастов Литер 3, секция 7",252a82f9-df2f-11e7-a7b5-5ef3fcbcaf17,02:55:020614:261,"«Многоэтажный жилой дом литер 3, расположенный в квартале, ограниченном проспектом Салавата Юлаева, улицами Лесотехникума, Энтузиастов, Рудольфа Нуреева, в Октябрьском районе городского округа город Уфа Республики Башкортостан»",Квартал Энтузиастов,31.12.2020 г.,,,
272,5a38ca05-42d2-11e8-ba94-226e60c524e5,272,Y,,,,,text,,,text,,500,,Доминант  Блок-секция 1,5a38ca05-42d2-11e8-ba94-226e60c524e5,,Доминант  Блок-секция 1,Доминант,,,,
273,4b38cd3c-5cc3-11e8-ba94-226e60c524e5,273,Y,,,,,text,,,text,,500,,Доминант  Блок-секция 2,4b38cd3c-5cc3-11e8-ba94-226e60c524e5,,Доминант  Блок-секция 2,Доминант,,,,
274,4b38cd3d-5cc3-11e8-ba94-226e60c524e5,274,Y,,,,,text,,,text,,500,,Доминант  Блок-секция 3,4b38cd3d-5cc3-11e8-ba94-226e60c524e5,,Доминант  Блок-секция 3,Доминант,,,,
275,54299ff3-5cc3-11e8-ba94-226e60c524e5,275,Y,,,,,text,,,text,,500,,Доминант  Блок-секция 4,54299ff3-5cc3-11e8-ba94-226e60c524e5,,Доминант  Блок-секция 4,Доминант,,,,
276,54299ff4-5cc3-11e8-ba94-226e60c524e5,276,Y,,,,,text,,,text,,500,,Доминант  Стилобат_ -2 уровень,54299ff4-5cc3-11e8-ba94-226e60c524e5,,Доминант  Блок-секция 5,Доминант,,,,
277,3a66327c-33ee-11e8-ba90-226e60c524e5,277,Y,,,,,text,,,text,,500,,"Яблоневый посад, 23 1этап/2",3a66327c-33ee-11e8-ba90-226e60c524e5,"г. Ярославль, Дзержинский район, микрорайон №№ 9, 9-а, 9-б, квартал, ограниченный просп. Дзержинского, ул. Блюхера, ул. Бабича и Тутаевским шоссе, площадью 12055 кв.м., с кадастровым номером 76:23:010503:43","Жилой комплекс Яблоневый посад, стр.23 1 этап секция 2 ",Яблоневый посад,,,,
278,e2db6431-3679-11e8-ba91-226e60c524e5,278,Y,,,,,text,,,text,,500,,"Яблоневый посад, 23 1этап/3",e2db6431-3679-11e8-ba91-226e60c524e5,"г. Ярославль, Дзержинский район, микрорайон №№ 9, 9-а, 9-б, квартал, ограниченный просп. Дзержинского, ул. Блюхера, ул. Бабича и Тутаевским шоссе, площадью 12055 кв.м., с кадастровым номером 76:23:010503:43","Жилой комплекс Яблоневый посад, стр.23 1 этап секция 3 ",Яблоневый посад,,,,
279,d5378275-3688-11e8-ba91-226e60c524e5,279,Y,,,,,text,,,text,,500,,"Яблоневый посад, 23 1этап/4",d5378275-3688-11e8-ba91-226e60c524e5,"г. Ярославль, Дзержинский район, микрорайон №№ 9, 9-а, 9-б, квартал, ограниченный просп. Дзержинского, ул. Блюхера, ул. Бабича и Тутаевским шоссе, площадью 12055 кв.м., с кадастровым номером 76:23:010503:43","Жилой комплекс Яблоневый посад, стр.23 1 этап секция 4",Яблоневый посад,,,,
280,53391a6b-47bd-11e8-ba94-226e60c524e5,280,Y,,,,,text,,,text,,500,,Яблоневый посад. 23 2 этап/5,53391a6b-47bd-11e8-ba94-226e60c524e5,"г. Ярославль, Дзержинский район, микрорайон №№ 9, 9-а, 9-б, квартал, ограниченный просп. Дзержинского, ул. Блюхера, ул. Бабича и Тутаевским шоссе, площадью 12055 кв.м., с кадастровым номером 76:23:010503:43",Жилой комплекс Яблоневый посад. стр.23 2 этап секция 5,Яблоневый посад,,,,
281,1096a7dd-47d0-11e8-ba94-226e60c524e5,281,Y,,,,,text,,,text,,500,,Яблоневый посад. 23 2 этап/6,1096a7dd-47d0-11e8-ba94-226e60c524e5,"г. Ярославль, Дзержинский район, микрорайон №№ 9, 9-а, 9-б, квартал, ограниченный просп. Дзержинского, ул. Блюхера, ул. Бабича и Тутаевским шоссе, площадью 12055 кв.м., с кадастровым номером 76:23:010503:43",Жилой комплекс Яблоневый посад. стр.23 2 этап секция 6,Яблоневый посад,,,,
282,1423fcc6-47d1-11e8-ba94-226e60c524e5,282,Y,,,,,text,,,text,,500,,Яблоневый посад. 23 2 этап/7,1423fcc6-47d1-11e8-ba94-226e60c524e5,"г. Ярославль, Дзержинский район, микрорайон №№ 9, 9-а, 9-б, квартал, ограниченный просп. Дзержинского, ул. Блюхера, ул. Бабича и Тутаевским шоссе, площадью 12055 кв.м., с кадастровым номером 76:23:010503:43",Жилой комплекс Яблоневый посад. стр.23 2 этап секция 7,Яблоневый посад,,,,
283,4282ee6a-47d1-11e8-ba94-226e60c524e5,283,Y,,,,,text,,,text,,500,,Яблоневый посад. 23 2 этап/8,4282ee6a-47d1-11e8-ba94-226e60c524e5,"г. Ярославль, Дзержинский район, микрорайон №№ 9, 9-а, 9-б, квартал, ограниченный просп. Дзержинского, ул. Блюхера, ул. Бабича и Тутаевским шоссе, площадью 12055 кв.м., с кадастровым номером 76:23:010503:43",Жилой комплекс Яблоневый посад. стр.23 2 этап секция 8,Яблоневый посад,,,,
